POSTE;DATE;RR;DRR;TM;FXY;DXY;UM
75114001;20080214;0,0;0;2,8;4,7;10;85
75114001;20080215;0,0;0;1,4;5,9;40;85
75114001;20080216;0,0;0;2,3;5,2;40;55
75114001;20080217;0,0;0;3,1;3,8;90;52
75114001;20080218;0,0;0;5,1;4,2;110;63
75114001;20080219;0,8;310;6,3;3,1;100;60
75114001;20080220;0,6;145;8,5;3,1;210;91
75114001;20080221;0,0;0;9,3;4,1;200;84
75114001;20080222;0,0;0;10,8;6,1;250;78
75114001;20080223;0,0;0;10,0;4,2;240;80
75114001;20080224;2,0;250;10,3;4,8;240;79
75114001;20080225;0,0;0;11,1;4,1;190;86
75114001;20080226;3,6;492;9,8;7,1;190;85
75114001;20080227;0,0;140;8,4;4,1;250;76
75114001;20080228;1,4;465;10,2;4,0;140;91
75114001;20080229;0,4;240;11,4;8,5;240;83
75114001;20080301;0,0;5;12,1;9,6;250;65
75114001;20080302;0,8;202;11,9;6,0;240;80
75114001;20080303;2,6;240;8,6;6,7;310;67
75114001;20080304;0,8;65;4,7;8,7;350;75
75114001;20080305;0,0;60;4,2;7,3;350;64
75114001;20080306;0,4;82;5,7;3,4;320;80
75114001;20080307;0,0;115;8,2;5,3;240;74
75114001;20080308;0,0;0;7,9;6,1;200;74
75114001;20080309;4,8;313;7,8;6,1;180;83
75114001;20080310;6,0;386;7,3;12,4;170;80
75114001;20080311;6,8;368;10,6;9,7;240;80
75114001;20080312;0,8;36;9,7;9,2;280;62
75114001;20080313;1,2;486;9,3;6,3;240;76
75114001;20080314;0,0;0;12,6;6,0;240;81
75114001;20080315;5,8;315;12,2;8,1;210;80
75114001;20080316;2,6;218;10,5;7,7;250;83
75114001;20080317;0,0;0;7,1;7,9;350;68
75114001;20080318;0,0;0;5,4;5,7;10;67
75114001;20080319;0,6;33;5,4;8,8;360;68
75114001;20080320;2,4;588;6,3;8,6;240;71
75114001;20080321;6,8;283;7,2;11,0;310;74
75114001;20080322;3,2;235;4,3;8,8;360;80
75114001;20080323;3,6;232;3,1;8,0;360;67
75114001;20080324;1,8;322;3,6;6,8;310;78
75114001;20080325;0,0;17;4,8;6,1;310;68
75114001;20080326;8,6;366;7,6;4,2;190;81
75114001;20080327;1,0;143;7,0;7,0;340;75
75114001;20080328;4,6;230;6,8;7,7;180;83
75114001;20080329;0,0;0;9,9;6,9;200;66
75114001;20080330;8,4;433;9,3;5,1;200;76
75114001;20080331;2,6;16;8,9;4,9;170;79
75114001;20080401;0,0;0;10,4;5,9;210;78
75114001;20080402;2,6;554;10,8;6,2;300;82
75114001;20080403;0,0;0;11,2;6,4;350;71
75114001;20080404;0,0;0;10,8;5,0;350;68
75114001;20080405;1,4;300;8,9;6,5;320;75
75114001;20080406;2,8;115;4,4;6,3;290;76
75114001;20080407;0,4;44;3,7;6,9;240;78
75114001;20080408;0,0;0;6,3;4,4;40;60
75114001;20080409;0,0;0;7,5;5,4;40;61
75114001;20080410;0,0;0;9,2;5,3;40;50
75114001;20080411;0,2;13;10,2;6,7;320;55
75114001;20080412;1,0;73;9,5;6,3;210;74
75114001;20080413;10,0;487;9,2;5,5;170;81
75114001;20080414;5,0;112;8,2;6,5;300;76
75114001;20080415;0,0;0;8,3;5,0;360;61
75114001;20080416;0,0;0;8,8;4,6;90;51
75114001;20080417;0,4;260;8,6;7,9;80;55
75114001;20080418;6,6;573;11,2;5,5;120;80
75114001;20080419;0,0;4;12,5;5,8;210;73
75114001;20080420;6,4;332;12,9;4,4;160;73
75114001;20080421;0,0;45;12,6;5,4;120;76
75114001;20080422;0,0;0;13,9;4,4;290;77
75114001;20080423;0,0;11;12,7;4,5;240;72
75114001;20080424;1,2;45;12,7;6,4;290;69
75114001;20080425;0,0;0;13,5;3,5;350;61
75114001;20080426;0,0;0;16,0;4,1;110;56
75114001;20080427;0,6;55;18,4;5,2;160;57
75114001;20080428;3,0;148;12,2;7,2;250;74
75114001;20080429;6,4;538;10,1;7,0;200;86
75114001;20080430;3,4;95;10,5;8,2;210;76
